Periode,Wilayah,Kode Wilayah,Kota/Kab,Kode Kota/Kab,Status Sekolah,Baik,Rusak Ringan,Rusak Sedang,Rusak Berat,Total Rusak,Jumlah
2024,PROV. SULAWESI SELATAN,73,KAB. TANA TORAJA,7318,Swasta,24,15,6,2,47,47
2024,PROV. SULAWESI SELATAN,73,KAB. LUWU UTARA,7322,Negeri,102,91,76,65,334,334
2024,PROV. SULAWESI SELATAN,73,KAB. LUWU UTARA,7322,Negeri dan Swasta,108,94,78,66,346,346
2024,PROV. SULAWESI SELATAN,73,KAB. LUWU UTARA,7322,Swasta,6,3,2,1,12,12
2024,PROV. SULAWESI SELATAN,73,KAB. LUWU TIMUR,7324,Negeri dan Swasta,103,69,52,28,252,252
2024,PROV. SULAWESI SELATAN,73,KAB. LUWU TIMUR,7324,Swasta,15,7,7,4,33,33
2024,PROV. SULAWESI SELATAN,73,KAB. LUWU TIMUR,7324,Negeri,88,62,45,24,219,219
2024,PROV. SULAWESI SELATAN,73,KAB. TORAJA UTARA,7326,Swasta,23,10,3,2,38,38
2024,PROV. SULAWESI SELATAN,73,KAB. TORAJA UTARA,7326,Negeri,86,80,55,50,271,271
2024,PROV. SULAWESI SELATAN,73,KAB. TORAJA UTARA,7326,Negeri dan Swasta,109,90,58,52,309,309
2024,PROV. SULAWESI SELATAN,73,KOTA MAKASSAR,7371,Negeri dan Swasta,556,218,139,92,1005,1005
2024,PROV. SULAWESI SELATAN,73,KOTA MAKASSAR,7371,Negeri,171,93,82,60,406,406
2024,PROV. SULAWESI SELATAN,73,KOTA MAKASSAR,7371,Swasta,385,125,57,32,599,599
2024,PROV. SULAWESI SELATAN,73,KOTA PAREPARE,7372,Swasta,30,9,9,3,51,51
2024,PROV. SULAWESI SELATAN,73,KOTA PAREPARE,7372,Negeri,36,32,29,9,106,106
2024,PROV. SULAWESI SELATAN,73,KOTA PAREPARE,7372,Negeri dan Swasta,66,41,38,12,157,157
2024,PROV. SULAWESI SELATAN,73,KOTA PALOPO,7373,Negeri dan Swasta,90,25,28,11,154,154
2024,PROV. SULAWESI SELATAN,73,KOTA PALOPO,7373,Negeri,53,19,15,9,96,96
2024,PROV. SULAWESI SELATAN,73,KOTA PALOPO,7373,Swasta,37,6,13,2,58,58
2024,PROV. SULAWESI TENGGARA,74,KAB. KOLAKA,7401,Negeri,88,81,25,15,209,209
2024,PROV. SULAWESI TENGGARA,74,KAB. KOLAKA,7401,Negeri dan Swasta,101,83,28,16,228,228
2024,PROV. SULAWESI TENGGARA,74,KAB. KOLAKA,7401,Swasta,13,2,3,1,19,19
